,QuarLang,AlterV10Sort,SexLang,Ziv2Lang,AnzBestWir
548,Escher Wyss,7,Male,Divorced,38
549,Escher Wyss,7,Male,In registered partnership,5
550,Escher Wyss,7,Male,Single,65
551,Escher Wyss,7,Male,Married,93
552,Escher Wyss,7,Male,Widowed,6
553,Escher Wyss,7,Female,Divorced,43
554,Escher Wyss,7,Female,In registered partnership,4
555,Escher Wyss,7,Female,Single,40
556,Escher Wyss,7,Female,Married,73
557,Escher Wyss,7,Female,Widowed,9
558,Escher Wyss,8,Male,Dissolved partnership,1
559,Escher Wyss,8,Male,Divorced,18
560,Escher Wyss,8,Male,In registered partnership,1
561,Escher Wyss,8,Male,Single,16
562,Escher Wyss,8,Male,Married,49
563,Escher Wyss,8,Male,Widowed,4
564,Escher Wyss,8,Female,Divorced,22
565,Escher Wyss,8,Female,Single,11
566,Escher Wyss,8,Female,Married,38
567,Escher Wyss,8,Female,Widowed,17
568,Escher Wyss,9,Male,Dissolved partnership,1
569,Escher Wyss,9,Male,Divorced,2
570,Escher Wyss,9,Male,Single,4
571,Escher Wyss,9,Male,Married,20
572,Escher Wyss,9,Male,Widowed,3
573,Escher Wyss,9,Female,Divorced,8
574,Escher Wyss,9,Female,Single,1
575,Escher Wyss,9,Female,Married,11
576,Escher Wyss,9,Female,Widowed,10
577,Escher Wyss,10,Male,Married,2
578,Escher Wyss,10,Female,Divorced,1
579,Escher Wyss,10,Female,Single,1
580,Escher Wyss,10,Female,Widowed,2
581,Fluntern,1,Male,Single,450
582,Fluntern,1,Female,Single,453
583,Fluntern,2,Male,Single,422
584,Fluntern,2,Female,Single,461
585,Fluntern,3,Male,Divorced,2
586,Fluntern,3,Male,Single,519
587,Fluntern,3,Male,Married,15
588,Fluntern,3,Female,Single,505
589,Fluntern,3,Female,Unknown,1
590,Fluntern,3,Female,Married,19
591,Fluntern,4,Male,Dissolved partnership,2
592,Fluntern,4,Male,Divorced,15
593,Fluntern,4,Male,In registered partnership,4
594,Fluntern,4,Male,Single,376
595,Fluntern,4,Male,Married,177
596,Fluntern,4,Male,Widowed,1
597,Fluntern,4,Female,Divorced,16
598,Fluntern,4,Female,Single,354
599,Fluntern,4,Female,Married,261
600,Fluntern,4,Female,Widowed,2
601,Fluntern,5,Male,Dissolved partnership,2
602,Fluntern,5,Male,Divorced,31
603,Fluntern,5,Male,In registered partnership,7
604,Fluntern,5,Male,Single,219
605,Fluntern,5,Male,Married,410
606,Fluntern,5,Male,Widowed,2
607,Fluntern,5,Female,Divorced,49
608,Fluntern,5,Female,In registered partnership,1
609,Fluntern,5,Female,Single,208
610,Fluntern,5,Female,Married,459
611,Fluntern,5,Female,Widowed,5
612,Fluntern,6,Male,Dissolved partnership,2
613,Fluntern,6,Male,Divorced,68
614,Fluntern,6,Male,In registered partnership,12
615,Fluntern,6,Male,Single,167
616,Fluntern,6,Male,Unknown,1
617,Fluntern,6,Male,Married,385
618,Fluntern,6,Male,Widowed,5
619,Fluntern,6,Female,Dissolved partnership,1
620,Fluntern,6,Female,Divorced,106
621,Fluntern,6,Female,In registered partnership,3
622,Fluntern,6,Female,Single,156
623,Fluntern,6,Female,Married,346
624,Fluntern,6,Female,Widowed,8
625,Fluntern,7,Male,Dissolved partnership,1
626,Fluntern,7,Male,Divorced,60
627,Fluntern,7,Male,In registered partnership,6
628,Fluntern,7,Male,Single,70
629,Fluntern,7,Male,Married,260
630,Fluntern,7,Male,Widowed,4
631,Fluntern,7,Female,Divorced,112
632,Fluntern,7,Female,In registered partnership,1
633,Fluntern,7,Female,Single,95
634,Fluntern,7,Female,Married,257
635,Fluntern,7,Female,Widowed,23
636,Fluntern,8,Male,Divorced,41
637,Fluntern,8,Male,In registered partnership,7
638,Fluntern,8,Male,Single,39
639,Fluntern,8,Male,Married,227
640,Fluntern,8,Male,Widowed,18
641,Fluntern,8,Female,Dissolved partnership,1
642,Fluntern,8,Female,Divorced,96
643,Fluntern,8,Female,In registered partnership,1
644,Fluntern,8,Female,Single,62
645,Fluntern,8,Female,Married,204
646,Fluntern,8,Female,Widowed,66
647,Fluntern,9,Male,Dissolved partnership,0
648,Fluntern,9,Male,Divorced,22
649,Fluntern,9,Male,In registered partnership,1
650,Fluntern,9,Male,Single,18
651,Fluntern,9,Male,Married,131
652,Fluntern,9,Male,Widowed,17
653,Fluntern,9,Female,Divorced,42
654,Fluntern,9,Female,Single,41
655,Fluntern,9,Female,Married,94
656,Fluntern,9,Female,Widowed,119
657,Fluntern,10,Male,Divorced,1
658,Fluntern,10,Male,Single,2
659,Fluntern,10,Male,Married,21
660,Fluntern,10,Male,Widowed,8
661,Fluntern,10,Female,Divorced,9
662,Fluntern,10,Female,Single,8
663,Fluntern,10,Female,Married,8
664,Fluntern,10,Female,Widowed,45
665,Friesenberg,1,Male,Single,649
666,Friesenberg,1,Female,Single,587
667,Friesenberg,2,Male,Single,864
668,Friesenberg,2,Female,Single,812
669,Friesenberg,3,Male,Divorced,1
670,Friesenberg,3,Male,Single,595
671,Friesenberg,3,Male,Married,23
672,Friesenberg,3,Female,Dissolved partnership,1
673,Friesenberg,3,Female,Divorced,3
674,Friesenberg,3,Female,Single,485
675,Friesenberg,3,Female,Married,66
676,Friesenberg,4,Male,Divorced,15
677,Friesenberg,4,Male,In registered partnership,1
678,Friesenberg,4,Male,Single,326
679,Friesenberg,4,Male,Married,234
680,Friesenberg,4,Female,Divorced,29
681,Friesenberg,4,Female,Single,306
682,Friesenberg,4,Female,Unknown,1
